Rank,Author Id,Number of Unique City Locations and #Tweets
1,702290904460169216,"7 (#16 tweets - 4gsyd, 4gmel, 1gbri, 4gade, 1gper, 1ghob, 1gdar)"
2,774694926135222272,"5 (#5 tweets - 1gmel, 1gbri, 1gper, 1gdar, 1acte)"
3,215292728,"4 (#20 tweets - 5gsyd, 5gmel, 5gbri, 5gade)"
4,1392242182715707395,"3 (#261 tweets - 3gsyd, 244gmel, 14acte)"
5,1348502962050535428,"3 (#222 tweets - 2gsyd, 7gmel, 213acte)"
6,1382217768649465858,"3 (#12 tweets - 1gade, 2gper, 9ghob)"
7,702047220,"3 (#10 tweets - 4gbri, 2gper, 4ghob)"
8,20122128,"2 (#79 tweets - 78gsyd, 1acte)"
9,1027167886148689920,"2 (#76 tweets - 17gdar, 59acte)"
10,350833995,"2 (#67 tweets - 47gmel, 20gper)"
